,Tweets,polarity
30,Does Silicon Valley on HBO get any better cause Season 1 is the WORST!!,"{'neg': 0.28, 'neu': 0.569, 'pos': 0.15, 'compound': -0.5449}"
31,HBO's Silicon Valley is a documentary.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"Best HBO shows not named Game of Thrones:

1. Crashing
2. Silicon Valley
3. The Night Of (Mini-series)
4. Chernobyl… https://t.co/DT5G5GDBVL","{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.6369}"
33,"RT @TheRegister: So like this is exactly why @HBO's Silicon Valley is, like, very funny, but hard to watch because it's like all too, like,…","{'neg': 0.061, 'neu': 0.612, 'pos': 0.327, 'compound': 0.8273}"
34,"RT @TheRegister: So like this is exactly why @HBO's Silicon Valley is, like, very funny, but hard to watch because it's like all too, like,…","{'neg': 0.061, 'neu': 0.612, 'pos': 0.327, 'compound': 0.8273}"
35,"RT @TheRegister: So like this is exactly why @HBO's Silicon Valley is, like, very funny, but hard to watch because it's like all too, like,…","{'neg': 0.061, 'neu': 0.612, 'pos': 0.327, 'compound': 0.8273}"
36,@TraceyBarnett My wife watched True Blood from start to finish and is working through Grey's Anatomy. I've watched… https://t.co/15e8PRW7uF,"{'neg': 0.0, 'neu': 0.865, 'pos': 0.135, 'compound': 0.4215}"
37,"RT @TheRegister: So like this is exactly why @HBO's Silicon Valley is, like, very funny, but hard to watch because it's like all too, like,…","{'neg': 0.061, 'neu': 0.612, 'pos': 0.327, 'compound': 0.8273}"
38,"So like this is exactly why @HBO's Silicon Valley is, like, very funny, but hard to watch because it's like all too… https://t.co/qWMDKV2dEA","{'neg': 0.067, 'neu': 0.609, 'pos': 0.324, 'compound': 0.7638}"
39,"@neontaster Another one of the HBO greats I hope doesn't overrun its quality. Same with silicon valley, both need at most 1 more season.","{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.4404}"
40,Legit excited and sad at the same time. I loved this series. https://t.co/3d95Icu5Rm,"{'neg': 0.168, 'neu': 0.489, 'pos': 0.342, 'compound': 0.4939}"
41,"@BesterJarren17 @HBO Some of my favorites: Barry, Last Week Tonight, Silicon Valley, and Veep","{'neg': 0.0, 'neu': 0.823, 'pos': 0.177, 'compound': 0.4215}"
42,“The Inventor: Out for Blood in Silicon Valley on HBO investigates the rise and decline of Elizabeth Homes and Ther… https://t.co/ifbVwAy7aV,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,*Cries in UTF-8* https://t.co/PCtdJ3zMz1,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
44,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
45,@neil1138 sorry I don't speak nerd...but the boys of Silicon Valley do,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.0772}"
46,"RT @iamdevloper: Twitter, I need your help:

https://t.co/X5nEkwWfGn

Get me a cameo.

@MikeJudge","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
